"bin","bbl","evictions"
1005043,"1004000060",1
1005048,"1004010015",4
1005049,"1004010017",1
1005051,"1004010019",2
1005053,"1004010021",2
1005057,"1004010026",7
1005060,"1004010029",1
1005073,"1004010053",6
1005077,"1004010057",2
1005079,"1004010059",4
1005083,"1004020011",9
1005085,"1004020019",3
1005086,"1004020021",2
1005091,"1004020028",1
1005092,"1004020029",1
1005093,"1004020032",2
1005094,"1004020034",2
1005095,"1004020036",1
1005106,"1004020051",4
1005107,"1004020052",3
1005108,"1004020053",4
1005109,"1004020054",1
1005112,"1004020057",4
1005113,"1004020059",1
1005117,"1004020063",1
1005121,"1004040004",1
1005126,"1004040012",5
1005130,"1004040017",1
1005131,"1004040018",10
1005138,"1004040030",2
1005140,"1004040032",2
1005145,"1004040037",3
1005149,"1004040042",1
1005150,"1004040044",3
1005151,"1004040045",4
1005163,"1004040058",1
1005165,"1004050007",1
1005166,"1004050008",1
1005168,"1004050010",3
1005172,"1004050015",1
1005174,"1004050017",5
1005180,"1004050033",2
1005181,"1004050034",4
1005197,"1004060002",3
1005198,"1004060003",1
1005203,"1004060008",2
1005204,"1004060009",3
1005206,"1004060012",1
1005208,"1004060015",1
1005212,"1004060021",2
1005216,"1004067501",1
1005217,"1004060032",1
1005222,"1004060039",1
1005227,"1004060047",2
1005229,"1004060053",5
1005230,"1004060054",3
1005232,"1004060062",1
1005239,"1004070018",5
1005242,"1004070025",3
1005244,"1004070027",3
1005246,"1004070029",8
1005249,"1004070034",3
1005250,"1004070035",2
1005254,"1004070040",1
1005256,"1004070043",1
1005259,"1004070046",1
1005267,"1004080003",1
1005269,"1004080005",1
1005276,"1004080013",3
1005295,"1004090029",3
1005296,"1004090031",1
1005297,"1004090033",3
1005300,"1004090043",2
1005302,"1004100001",1
1005303,"1004100002",3
1005304,"1004100004",3
1005305,"1004100007",2
1005306,"1004100008",5
1005307,"1004100009",2
1005308,"1004100010",1
1005309,"1004100011",6
1005310,"1004100012",2
1005312,"1004100017",2
1005313,"1004100018",1
1005315,"1004100021",1
1005319,"1004100025",12
1005325,"1004100037",1
1005327,"1004100043",1
1005328,"1004100044",1
1005329,"1004100046",7
1005333,"1004100054",1
1005334,"1004100055",4
1005342,"1004110003",2
1005345,"1004110009",2
1005346,"1004110010",2
1005351,"1004110018",2
1005354,"1004110021",2
1005358,"1004110027",1
1005363,"1004110034",1
1005365,"1004110037",3
1005369,"1004110042",1
1005372,"1004110045",8
1005374,"1004110060",1
1005376,"1004110064",2
1005377,"1004110065",1
1005385,"1004110075",13
1005386,"1004120001",1
1005392,"1004120009",3
1005401,"1004120027",2
1005402,"1004120028",7
1005407,"1004120033",5
1005408,"1004120034",5
1005413,"1004120042",2
1005414,"1004120043",2
1005416,"1004120045",1
1005417,"1004120046",1
1005424,"1004120062",6
1005429,"1004130001",2
1005431,"1004130004",4
1005432,"1004130006",1
1005435,"1004130012",1
1005436,"1004130014",5
1005447,"1004130043",1
1005448,"1004130045",1
1005450,"1004130050",1
1005453,"1004140002",6
1005456,"1004140005",1
1005457,"1004140018",3
1005458,"1004140019",1
1005459,"1004147501",3
1005460,"1004140021",2
1005464,"1004140025",1
1005466,"1004140028",4
1005469,"1004140032",1
1005471,"1004140051",2
1005472,"1004140054",4
1005492,"1004150032",1
1005497,"1004150062",1
1005503,"1004150070",1
1005504,"1004150071",2
1005506,"1004150076",3
1005508,"1004150078",1
1005509,"1004160020",2
1005512,"1004160025",1
1005513,"1004160027",3
1005515,"1004167501",1
1005516,"1004160032",1
1005520,"1004160038",1
1005523,"1004160055",1
1005527,"1004160059",1
1005529,"1004160062",2
1005530,"1004160063",1
1005532,"1004160065",2
1005535,"1004160068",5
1005536,"1004160069",6
1005542,"1004170018",7
1005543,"1004170019",6
1005549,"1004170058",5
1005555,"1004170065",1
1005557,"1004170067",1
1005558,"1004170068",4
1005561,"1004180032",5
1005562,"1004180033",1
1005563,"1004180034",8
1005565,"1004180037",3
1005567,"1004180040",2
1005573,"1004180047",4
1005574,"1004180048",2
1005581,"1004180056",1
1005586,"1004190047",1
1005587,"1004190048",3
1005589,"1004190063",1
1005590,"1004190065",3
1005591,"1004190066",4
1005594,"1004190070",1
1005598,"1004200044",3
1005605,"1004210043",1
1005610,"1004210075",1
1005611,"1004210078",1
1005612,"1004210080",2
1005617,"1004220048",1
1005620,"1004227502",2
1005623,"1004220060",1
1005624,"1004220062",5
1005625,"1004220064",1
1005640,"1004230016",1
1005646,"1004230025",5
1005666,"1004240029",1
1005668,"1004240032",2
1005672,"1004240040",2
1005685,"1004250019",8
1005686,"1004250021",2
1005689,"1004250026",1
1005692,"1004250033",2
1005693,"1004250035",1
1005695,"1004250037",1
1005700,"1004267501",1
1005713,"1004260020",2
1005714,"1004260021",1
1005715,"1004260025",2
1005716,"1004260026",1
1005726,"1004260044",1
1005730,"1004290002",7
1005732,"1004290005",1
1005735,"1004290009",1
1005736,"1004290014",5
1005738,"1004290016",3
1005739,"1004290017",3
1005747,"1004290034",1
1005754,"1004290045",3
1005758,"1004300001",7
1005759,"1004310001",17
1005761,"1004310025",2
1005762,"1004310031",2
1005763,"1004327502",3
1005764,"1004321001",12
1005769,"1004340001",1
1005772,"1004340005",2
1005773,"1004340006",1
